Property address,CS - NOI,CS - PV size (kW),Building type,Utility,Gross roof area (ft²),Owner name
"7000 Arundel Mills Cir, Severn, MD 21076","$828,450","12,183","Retail, Strip Mall",Baltimore Gas & Electric Co,"1,624,411",COSTCO
"11160 Veirs Mill Rd, Wheaton-Glenmont, MD 20902","$428,342","6,693","Retail, Strip Mall",Potomac Electric Power Co,"892,379",Shopping Center Associates
"10341 Westlake Dr, Bethesda, MD 20817","$395,629","6,182","Retail, Strip Mall",Potomac Electric Power Co,"824,227",Montgomery Mall LLC
"9001 Rockville Pike, Bethesda, MD 20892","$315,220","4,925",Hospital,Potomac Electric Power Co,"656,709",Dept of Liquor Control
"601 Chelsea Rd, Aberdeen, MD 21001","$738,590","10,862","Industrial, Manufacturing",Baltimore Gas & Electric Co,"905,135","Artemis Real Estate Partners, LLC"
"103 Chesapeake Park Plaza, Middle River, MD 21220","$443,907","6,528",Office,Baltimore Gas & Electric Co,"870,405",Lockheed Martin Corporation
"7401 S Cicero Ave, Chicago, IL 60629","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"2,311,081","Tootsie Roll Mfg., Inc."
"626 Hanover Pike, Hampstead, MD 21074","$639,890","9,410","Industrial, Manufacturing",Baltimore Gas & Electric Co,"784,179",State of Maryland
"701 Russell Ave, Gaithersburg, MD 20877","$320,694","5,011","Retail, Strip Mall",Potomac Electric Power Co,"668,112","Lakeforest Development, LLC"
"6301 Bethlehem Blvd, Edgemere, MD 21219","$622,374","9,153","Industrial, Manufacturing",Baltimore Gas & Electric Co,"762,713","Tpa Properties 16, LLC"
"8700 Robert Fulton Dr, Columbia, MD 21046","$590,072","8,678","Industrial, Manufacturing",Baltimore Gas & Electric Co,"723,127",Db USA Corporation
"400 Bennett Cerf Dr, Westminster, MD 21157","$820,650","12,068","Industrial, Warehouse",Baltimore Gas & Electric Co,"1,005,699",Penguin Random House
"9500 Macarthur Blvd, Bethesda, MD 20817","$254,397","3,975",Office,Potomac Electric Power Co,"529,993",U.S. America Realty Inc.
"600 N Wolfe St, Baltimore, MD 21287","$345,556","5,082",Hospital,Baltimore Gas & Electric Co,"677,561","Johns Hopkins Hospital, The"
"12600 S Torrence Ave, Chicago, IL 60633","$375,000","15,000","Industrial, Manufacturing",Commonwealth Edison Co,"2,040,290",Ford
"443 Shaker Rd, East Longmeadow, MA 01028","$650,000","6,500","Industrial, Manufacturing",National Grid - Massachusetts,"1,076,449",Cartamundi East Longmeadow LLC
